feature,text,clase,tweet_id,origin,clean_tokens,word_count,token_count
eres una loca ardida.,eres una loca ardida,violent,,rnn,"[eres, una, loca, ardida]",4,4
qué haces tan tapada.,qué haces tan tapada,violent,,rnn,"[qué, haces, tan, tapada]",4,4
he pegado a una muje.,he pegado a una muje,violent,,rnn,"[he, pegado, a, una, muje]",5,5
Tenía que ser vieja.,tenía que ser vieja,violent,,rnn,"[tenía, que, ser, vieja]",4,4
la que se viste raro.,la que se viste raro,violent,,rnn,"[la, que, se, viste, raro]",5,5
Los hombres no lloran.,los hombres no lloran,violent,,rnn,"[los, hombres, no, lloran]",4,4
Ese color es de mujer.,ese color es de mujer,violent,,rnn,"[ese, color, es, de, mujer]",5,5
Ya no sale ni en rifa.,ya no sale ni en rifa,violent,,rnn,"[ya, no, sale, ni, en, rifa]",6,6
la mujer en la cocina.,la mujer en la cocina,violent,,rnn,"[la, mujer, en, la, cocina]",5,5
¡Hillary es una puta.,¡hillary es una puta,violent,,rnn,"[hillary, es, una, puta]",4,4
esa zorra es mi mujer.,esa zorra es mi mujer,violent,,rnn,"[esa, zorra, es, mi, mujer]",5,5
las mujeres son putas.,las mujeres son putas,violent,,rnn,"[las, mujeres, son, putas]",4,4
"bella, sensual y puta .","bella, sensual y puta",violent,,rnn,"[bella, sensual, y, puta]",4,4
¿No tienes novio aún.,¿no tienes novio aún,violent,,rnn,"[no, tienes, novio, aún]",4,4
Ella es una mal amada.,ella es una mal amada,violent,,rnn,"[ella, es, una, mal, amada]",5,5
La puta y mal follada.,la puta y mal follada,violent,,rnn,"[la, puta, y, mal, follada]",5,5
tan bonita y tan sola.,tan bonita y tan sola,violent,,rnn,"[tan, bonita, y, tan, sola]",5,5
pues estas bien buena.,pues estas bien buena,violent,,rnn,"[pues, estas, bien, buena]",4,4
ser puta es lo maximo.,ser puta es lo maximo,violent,,rnn,"[ser, puta, es, lo, maximo]",5,5
una vieja en la calle.,una vieja en la calle,violent,,rnn,"[una, vieja, en, la, calle]",5,5
Una niña tonta y loca.,una niña tonta y loca,violent,,rnn,"[una, niña, tonta, y, loca]",5,5
el sostén es muy sexy.,el sostén es muy sexy,violent,,rnn,"[el, sostén, es, muy, sexy]",5,5
Es la mujer descarada.,es la mujer descarada,violent,,rnn,"[es, la, mujer, descarada]",4,4
No todos somos iguales.,no todos somos iguales,violent,,rnn,"[no, todos, somos, iguales]",4,4
LAVADORAS DE DOS PATAS.,lavadoras de dos patas,violent,,rnn,"[lavadoras, de, patas]",4,3
Lloras como una nenaza.,lloras como una nenaza,violent,,rnn,"[lloras, como, una, nenaza]",4,4
AGARRARLAS POR EL COÑO.,agarrarlas por el coño,violent,,rnn,"[agarrarlas, por, el, coño]",4,4
Fue un crimen pasional.,fue un crimen pasional,violent,,rnn,"[fue, un, crimen, pasional]",4,4
¿Y no piensas casarte.,¿y no piensas casarte,violent,,rnn,"[y, no, piensas, casarte]",4,4
corres como una nenaza.,corres como una nenaza,violent,,rnn,"[corres, como, una, nenaza]",4,4
Vaya mujer estás hecha.,vaya mujer estás hecha,violent,,rnn,"[vaya, mujer, estás, hecha]",4,4
las mujeres son basura.,las mujeres son basura,violent,,rnn,"[las, mujeres, son, basura]",4,4
obediencia de la mujer.,obediencia de la mujer,violent,,rnn,"[obediencia, de, la, mujer]",4,4
Yo la quiero muy tonta.,yo la quiero muy tonta,violent,,rnn,"[yo, la, quiero, muy, tonta]",5,5
¡Qué pendejas las dos.,¡qué pendejas las dos,violent,,rnn,"[qué, pendejas, las]",4,3
Ellas son los floreros.,ellas son los floreros,violent,,rnn,"[ellas, son, los, floreros]",4,4
mujer estas toda bruta.,mujer estas toda bruta,violent,,rnn,"[mujer, estas, toda, bruta]",4,4
ella le gusta obedecer.,ella le gusta obedecer,violent,,rnn,"[ella, le, gusta, obedecer]",4,4
Eso no es de señoritas.,eso no es de señoritas,violent,,rnn,"[eso, no, es, de, señoritas]",5,5
 ¡Mujer tenía que ser.,¡mujer tenía que ser,violent,,rnn,"[mujer, tenía, que, ser]",4,4
A la prima se le arima.,a la prima se le arima,violent,,rnn,"[a, la, prima, se, le]",6,5
La que enseña no vende.,la que enseña no vende,violent,,rnn,"[la, que, enseña, no, vende]",5,5
El ballet es de chicas.,el ballet es de chicas,violent,,rnn,"[el, ballet, es, de, chicas]",5,5
soy una perra chingona.,soy una perra chingona,violent,,rnn,"[soy, una, perra, chingona]",4,4
la mujer como alfombra.,la mujer como alfombra,violent,,rnn,"[la, mujer, como, alfombra]",4,4
mujer celosa y maníaca.,mujer celosa y maníaca,violent,,rnn,"[mujer, celosa, y, maníaca]",4,4
Es un/a hijo/a de puta.,es un/a hijo/a de puta,violent,,rnn,"[es, un, a, hijo, a, de, puta]",5,7
El fútbol es de chicos.,el fútbol es de chicos,violent,,rnn,"[el, fútbol, es, de, chicos]",5,5
la marcha de las putas.,la marcha de las putas,violent,,rnn,"[la, marcha, de, las, putas]",5,5
"putas, vayan a su casa .","putas, vayan a su casa",violent,,rnn,"[putas, vayan, a, su, casa]",5,5
aflojar con unos golpes.,aflojar con unos golpes,violent,,rnn,"[aflojar, con, unos, golpes]",4,4
No te pongas esta falda.,no te pongas esta falda,violent,,rnn,"[no, te, pongas, esta, falda]",5,5
LAS MUJERES SON OBJETOS.,las mujeres son objetos,violent,,rnn,"[las, mujeres, son, objetos]",4,4
Las mujeres están locas.,las mujeres están locas,violent,,rnn,"[las, mujeres, están, locas]",4,4
Le ha quitado el marido.,le ha quitado el marido,violent,,rnn,"[le, ha, quitado, el, marido]",5,5
Seguro que es una mujer.,seguro que es una mujer,violent,,rnn,"[seguro, que, es, una, mujer]",5,5
la concha de tu hermana.,la concha de tu hermana,violent,,rnn,"[la, concha, de, tu, hermana]",5,5
darle hijos a tu esposo.,darle hijos a tu esposo,violent,,rnn,"[darle, hijos, a, tu, esposo]",5,5
la mujer al patriarcado.,la mujer al patriarcado,violent,,rnn,"[la, mujer, al, patriarcado]",4,4
Las mujeres son sumisas.,las mujeres son sumisas,violent,,rnn,"[las, mujeres, son, sumisas]",4,4
sumisión para las niñas.,sumisión para las niñas,violent,,rnn,"[sumisión, para, las, niñas]",4,4
una mujer es mancillada.,una mujer es mancillada,violent,,rnn,"[una, mujer, es, mancillada]",4,4
es una puta de la calle.,es una puta de la calle,violent,,rnn,"[es, una, puta, de, la, calle]",6,6
mi mujer es fea y gorda.,mi mujer es fea y gorda,violent,,rnn,"[mi, mujer, es, fea, y, gorda]",6,6
Calladitas se ven mejor.,calladitas se ven mejor,violent,,rnn,"[calladitas, se, ven, mejor]",4,4
Las señoritas no gritan.,las señoritas no gritan,violent,,rnn,"[las, señoritas, no, gritan]",4,4
Qué mujer tan asquerosa.,qué mujer tan asquerosa,violent,,rnn,"[qué, mujer, tan, asquerosa]",4,4
una histérica mal amada.,una histérica mal amada,violent,,rnn,"[una, histérica, mal, amada]",4,4
ellas son unas machas.,ellas son unas machas,violent,,rnn,"[ellas, son, unas, machas]",4,4
Tan chiquita y tan puta.,tan chiquita y tan puta,violent,,rnn,"[tan, chiquita, y, tan, puta]",5,5
luego por que las matan.,luego por que las matan,violent,,rnn,"[luego, por, que, las, matan]",5,5
Eres una calienta pitos.,eres una calienta pitos,violent,,rnn,"[eres, una, calienta, pitos]",4,4
lo vas hacer mariquita.,lo vas hacer mariquita,violent,,rnn,"[lo, vas, hacer, mariquita]",4,4
Tu no porque eres vieja.,tu no porque eres vieja,violent,,rnn,"[tu, no, porque, eres, vieja]",5,5
Los coches son de niños.,los coches son de niños,violent,,rnn,"[los, coches, son, de, niños]",5,5
Esas cosas son de niñas.,esas cosas son de niñas,violent,,rnn,"[esas, cosas, son, de, niñas]",5,5
él es el rey de la casa.,él es el rey de la casa,violent,,rnn,"[él, es, el, rey, de, la, casa]",7,7
las mujeres son odiosas.,las mujeres son odiosas,violent,,rnn,"[las, mujeres, son, odiosas]",4,4
Tus nalguitas serán mías.,tus nalguitas serán mías,violent,,rnn,"[tus, nalguitas, serán, mías]",4,4
Ni machismo ni feminismo.,ni machismo ni feminismo,violent,,rnn,"[ni, machismo, ni, feminismo]",4,4
"Eres madre, para un poco .","eres madre, para un poco",violent,,rnn,"[eres, madre, para, un, poco]",5,5
Ella no es para pololear.,ella no es para pololear,violent,,rnn,"[ella, no, es, para, pololear]",5,5
"le rompo la cara, mijita .","le rompo la cara, mijita",violent,,rnn,"[le, rompo, la, cara, mijita]",5,5
Tan bonita y tan ladrona.,tan bonita y tan ladrona,violent,,rnn,"[tan, bonita, y, tan, ladrona]",5,5
Se le está yendo el tren.,se le está yendo el tren,violent,,rnn,"[se, le, está, yendo, el, tren]",6,6
con unos golpes aflojaba.,con unos golpes aflojaba,violent,,rnn,"[con, unos, golpes, aflojaba]",4,4
eres una basura de mujer.,eres una basura de mujer,violent,,rnn,"[eres, una, basura, de, mujer]",5,5
 ¡Peleas como una mujer.,¡peleas como una mujer,violent,,rnn,"[peleas, como, una, mujer]",4,4
No es malota sexualmente.,no es malota sexualmente,violent,,rnn,"[no, es, malota, sexualmente]",4,4
Oye puta ¿Cuanto cobras.,oye puta ¿cuanto cobras,violent,,rnn,"[oye, puta, cuanto, cobras]",4,4
No hay quien la entienda.,no hay quien la entienda,violent,,rnn,"[no, hay, quien, la, entienda]",5,5
Para ti todo es machismo.,para ti todo es machismo,violent,,rnn,"[para, ti, todo, es, machismo]",5,5
ella es una cazafortunas.,ella es una cazafortunas,violent,,rnn,"[ella, es, una, cazafortunas]",4,4
eso es solo para hombres.,eso es solo para hombres,violent,,rnn,"[eso, es, solo, para, hombres]",5,5
Y el novio ¿para cuando.,y el novio ¿para cuando,violent,,rnn,"[y, el, novio, para, cuando]",5,5
te voy a hacer una mujer.,te voy a hacer una mujer,violent,,rnn,"[te, voy, a, hacer, una, mujer]",6,6
los hijos son de la mam.,los hijos son de la mam,violent,,rnn,"[los, hijos, son, de, la, mam]",6,6
así quién te va a querer.,así quién te va a querer,violent,,rnn,"[así, quién, te, va, a, querer]",6,6
Las muñecas son de niñas.,las muñecas son de niñas,violent,,rnn,"[las, muñecas, son, de, niñas]",5,5
Esas cosas son de niños.,esas cosas son de niños,violent,,rnn,"[esas, cosas, son, de, niños]",5,5
Seguro está en sus días.,seguro está en sus días,violent,,rnn,"[seguro, está, en, sus, días]",5,5
"siempre culo, nunca teta .","siempre culo, nunca teta",violent,,rnn,"[siempre, culo, nunca, teta]",4,4
calladita estás más guapa.,calladita estás más guapa,violent,,rnn,"[calladita, estás, más, guapa]",4,4
No salgas hasta tan tarde.,no salgas hasta tan tarde,violent,,rnn,"[no, salgas, hasta, tan, tarde]",5,5
Tienes que darte a desear.,tienes que darte a desear,violent,,rnn,"[tienes, que, darte, a, desear]",5,5
Deplano estás en tus días.,deplano estás en tus días,violent,,rnn,"[estás, en, tus, días]",5,4
Se te va a pasar el arroz.,se te va a pasar el arroz,violent,,rnn,"[se, te, va, a, pasar, el, arroz]",7,7
la mujer es el sexo débil.,la mujer es el sexo débil,violent,,rnn,"[la, mujer, es, el, sexo, débil]",6,6
culpar a la mujer de todo.,culpar a la mujer de todo,violent,,rnn,"[culpar, a, la, mujer, de, todo]",6,6
Le decían la mufla de oro.,le decían la mufla de oro,violent,,rnn,"[le, decían, la, mufla, de, oro]",6,6
No es dueña de sus bienes.,no es dueña de sus bienes,violent,,rnn,"[no, es, dueña, de, sus, bienes]",6,6
Es TAN mandona la pendeja.,es tan mandona la pendeja,violent,,rnn,"[es, tan, mandona, la, pendeja]",5,5
Pórtate como una señorita.,pórtate como una señorita,violent,,rnn,"[pórtate, como, una, señorita]",4,4
ese trabajo es de hombres.,ese trabajo es de hombres,violent,,rnn,"[ese, trabajo, es, de, hombres]",5,5
ya sientese vieja pendeja.,ya sientese vieja pendeja,violent,,rnn,"[ya, vieja, pendeja]",4,3
nuestra madre es una loca.,nuestra madre es una loca,violent,,rnn,"[nuestra, madre, es, una, loca]",5,5
por eso te dicen la zorra.,por eso te dicen la zorra,violent,,rnn,"[por, eso, te, dicen, la, zorra]",6,6
Qué malas son las mujeres.,qué malas son las mujeres,violent,,rnn,"[qué, malas, son, las, mujeres]",5,5
ella es una mujer publica.,ella es una mujer publica,violent,,rnn,"[ella, es, una, mujer, publica]",5,5
Que no me dejes o te mato.,que no me dejes o te mato,violent,,rnn,"[que, no, me, dejes, o, te, mato]",7,7
las putas disfrutamos más.,las putas disfrutamos más,violent,,rnn,"[las, putas, disfrutamos, más]",4,4
Mujer = objeto decorativo.,mujer = objeto decorativo,violent,,rnn,"[mujer, =, objeto, decorativo]",4,4
la mujer es menospreciada.,la mujer es menospreciada,violent,,rnn,"[la, mujer, es, menospreciada]",4,4
las mujeres también violan.,las mujeres también violan,violent,,rnn,"[las, mujeres, también, violan]",4,4
siéntate como una señorita.,siéntate como una señorita,violent,,rnn,"[siéntate, como, una, señorita]",4,4
Eres cobarde como una niña.,eres cobarde como una niña,violent,,rnn,"[eres, cobarde, como, una, niña]",5,5
No eres como otras mujeres.,no eres como otras mujeres,violent,,rnn,"[no, eres, como, otras, mujeres]",5,5
A las tías os afecta TODO.,a las tías os afecta todo,violent,,rnn,"[a, las, tías, os, afecta, todo]",6,6
La perforaría como un tren.,la perforaría como un tren,violent,,rnn,"[la, como, un, tren]",5,4
Le pegó sólo si me provoca.,le pegó sólo si me provoca,violent,,rnn,"[le, pegó, sólo, si, me, provoca]",6,6
él tendrá dominio sobre ti.,él tendrá dominio sobre ti,violent,,rnn,"[él, tendrá, dominio, sobre, ti]",5,5
Mi esposa me debe obedecer.,mi esposa me debe obedecer,violent,,rnn,"[mi, esposa, me, debe, obedecer]",5,5
yo soy tu jefe puta barata.,yo soy tu jefe puta barata,violent,,rnn,"[yo, soy, tu, jefe, puta, barata]",6,6
De seguro te pega el novio.,de seguro te pega el novio,violent,,rnn,"[de, seguro, te, pega, el, novio]",6,6
te odio por que eres mujer.,te odio por que eres mujer,violent,,rnn,"[te, odio, por, que, eres, mujer]",6,6
es que los hombres son as.,es que los hombres son as,violent,,rnn,"[es, que, los, hombres, son, as]",6,6
calladita se ve mas bonita.,calladita se ve mas bonita,violent,,rnn,"[calladita, se, ve, mas, bonita]",5,5
ella se lo buscó por facil.,ella se lo buscó por facil,violent,,rnn,"[ella, se, lo, buscó, por, facil]",6,6
esta re buena la condenada.,esta re buena la condenada,violent,,rnn,"[esta, re, buena, la, condenada]",5,5
A las niñas no se les pega.,a las niñas no se les pega,violent,,rnn,"[a, las, niñas, no, se, les, pega]",7,7
A dónde irá así vestida.,a dónde irá así vestida,violent,,rnn,"[a, dónde, irá, así, vestida]",5,5
Con esa falda pareces puta.,con esa falda pareces puta,violent,,rnn,"[con, esa, falda, pareces, puta]",5,5
por ponerte esos shorcitos.,por ponerte esos shorcitos,violent,,rnn,"[por, ponerte, esos]",4,3
"Menudo par de tetas, guapa .","menudo par de tetas, guapa",violent,,rnn,"[menudo, par, de, tetas, guapa]",5,5
calladita se ve más bonita.,calladita se ve más bonita,violent,,rnn,"[calladita, se, ve, más, bonita]",5,5
la culpa es de las mujeres.,la culpa es de las mujeres,violent,,rnn,"[la, culpa, es, de, las, mujeres]",6,6
el hombre manda en su casa.,el hombre manda en su casa,violent,,rnn,"[el, hombre, manda, en, su, casa]",6,6
el hombre supera a la mujer.,el hombre supera a la mujer,violent,,rnn,"[el, hombre, supera, a, la, mujer]",6,6
"¿Qué pasa, tienes la regla?","¿qué pasa, tienes la regla?",violent,,rnn,"[qué, pasa, tienes, la, regla]",5,5
Así no se comporta una dama.,así no se comporta una dama,violent,,rnn,"[así, no, se, comporta, una, dama]",6,6
Calladita te ves más bonita.,calladita te ves más bonita,violent,,rnn,"[calladita, te, ves, más, bonita]",5,5
las mujeres tienen la culpa.,las mujeres tienen la culpa,violent,,rnn,"[las, mujeres, tienen, la, culpa]",5,5
"te voy a violar, negra p*ta .","te voy a violar, negra p*ta",violent,,rnn,"[te, voy, a, violar, negra, p*ta]",6,6
deberías estar en la cocina.,deberías estar en la cocina,violent,,rnn,"[deberías, estar, en, la, cocina]",5,5
Se quedó para vestir santos.,se quedó para vestir santos,violent,,rnn,"[se, quedó, para, vestir, santos]",5,5
Aborrezco a la mujer sabia.,aborrezco a la mujer sabia,violent,,rnn,"[aborrezco, a, la, mujer, sabia]",5,5
No soy la señora de la casa.,no soy la señora de la casa,violent,,rnn,"[no, soy, la, señora, de, la, casa]",7,7
mujer deshonrada y traidora.,mujer deshonrada y traidora,violent,,rnn,"[mujer, deshonrada, y, traidora]",4,4
las mujeres no pueden votar.,las mujeres no pueden votar,violent,,rnn,"[las, mujeres, no, pueden, votar]",5,5
la mujer reside en obedecer.,la mujer reside en obedecer,violent,,rnn,"[la, mujer, reside, en, obedecer]",5,5
ella le gusta que le peguen.,ella le gusta que le peguen,violent,,rnn,"[ella, le, gusta, que, le, peguen]",6,6
ella esta gorda y asquerosa.,ella esta gorda y asquerosa,violent,,rnn,"[ella, esta, gorda, y, asquerosa]",5,5
las niñas mayores no lloran.,las niñas mayores no lloran,violent,,rnn,"[las, niñas, mayores, no, lloran]",5,5
se da de santa la muy tonta.,se da de santa la muy tonta,violent,,rnn,"[se, da, de, santa, la, muy, tonta]",7,7
de seguro eras tu la infiel.,de seguro eras tu la infiel,violent,,rnn,"[de, seguro, eras, tu, la, infiel]",6,6
Vestida así te van a violar.,vestida así te van a violar,violent,,rnn,"[vestida, así, te, van, a, violar]",6,6
La culpa la tienes tú mujer.,la culpa la tienes tú mujer,violent,,rnn,"[la, culpa, la, tienes, tú, mujer]",6,6
"Conduce mal, seguro es muje .","conduce mal, seguro es muje",violent,,rnn,"[conduce, mal, seguro, es, muje]",5,5
¿Otra vez lo del feminismo.,¿otra vez lo del feminismo,violent,,rnn,"[otra, vez, lo, del, feminismo]",5,5
La acosa que no pidio ayuda.,la acosa que no pidio ayuda,violent,,rnn,"[la, acosa, que, no, pidio, ayuda]",6,6
Ya te hace falta que te den.,ya te hace falta que te den,violent,,rnn,"[ya, te, hace, falta, que, te, den]",7,7
"Tu no cantas, tu hermano si .","tu no cantas, tu hermano si",violent,,rnn,"[tu, no, cantas, tu, hermano, si]",6,6
Mujer que no jode es hombre.,mujer que no jode es hombre,violent,,rnn,"[mujer, que, no, jode, es, hombre]",6,6
"Mujeres juntas, ni difuntas .","mujeres juntas, ni difuntas",violent,,rnn,"[mujeres, juntas, ni, difuntas]",4,4
Estás enseñando mucha pierna.,estás enseñando mucha pierna,violent,,rnn,"[estás, enseñando, mucha, pierna]",4,4
NO SOY LA SE ÑORA DE LA CASA.,no soy la se ñora de la casa,violent,,rnn,"[no, soy, la, se, ñora, de, la, casa]",8,8
Para ser chica no juegas mal.,para ser chica no juegas mal,violent,,rnn,"[para, ser, chica, no, juegas, mal]",6,6
Eso te pasa por vestirte as.,eso te pasa por vestirte as,violent,,rnn,"[eso, te, pasa, por, vestirte, as]",6,6
La mujer es un mal necesario.,la mujer es un mal necesario,violent,,rnn,"[la, mujer, es, un, mal, necesario]",6,6
"Amor de fea, no tiene contra .","amor de fea, no tiene contra",violent,,rnn,"[amor, de, fea, no, tiene, contra]",6,6
No asesinan a tantas mujeres.,no asesinan a tantas mujeres,violent,,rnn,"[no, asesinan, a, tantas, mujeres]",5,5
pasa que nadie te c*gió bien.,pasa que nadie te c*gió bien,violent,,rnn,"[pasa, que, nadie, te, bien]",6,5
Una mujer no puede ser líder.,una mujer no puede ser líder,violent,,rnn,"[una, mujer, no, puede, ser, líder]",6,6
no se puede confiar en ellas.,no se puede confiar en ellas,violent,,rnn,"[no, se, puede, confiar, en, ellas]",6,6
A mi mujer le pego lo normal.,a mi mujer le pego lo normal,violent,,rnn,"[a, mi, mujer, le, pego, lo, normal]",7,7
"Mi animal favorito, la mujer .","mi animal favorito, la mujer",violent,,rnn,"[mi, animal, favorito, la, mujer]",5,5
tu deseo será para tu marido.,tu deseo será para tu marido,violent,,rnn,"[tu, deseo, será, para, tu, marido]",6,6
No encontré virgen a tu hija.,no encontré virgen a tu hija,violent,,rnn,"[no, encontré, virgen, a, tu, hija]",6,6
La mujer aprenda en silencio.,la mujer aprenda en silencio,violent,,rnn,"[la, mujer, aprenda, en, silencio]",5,5
era la más ardiente de todas.,era la más ardiente de todas,violent,,rnn,"[era, la, más, ardiente, de, todas]",6,6
así vestida pareces una puta.,así vestida pareces una puta,violent,,rnn,"[así, vestida, pareces, una, puta]",5,5
ya sientese vieja mal parida.,ya sientese vieja mal parida,violent,,rnn,"[ya, vieja, mal, parida]",5,4
Nadie entiende a las mujeres.,nadie entiende a las mujeres,violent,,rnn,"[nadie, entiende, a, las, mujeres]",5,5
"Cariño, ¿qué hay para cenar?","cariño, ¿qué hay para cenar?",violent,,rnn,"[cariño, qué, hay, para, cenar]",5,5
Conduces bien para ser mujer.,conduces bien para ser mujer,violent,,rnn,"[conduces, bien, para, ser, mujer]",5,5
Solo sirves para tener hijos.,solo sirves para tener hijos,violent,,rnn,"[solo, sirves, para, tener, hijos]",5,5
mujer como te gusta provocar.,mujer como te gusta provocar,violent,,rnn,"[mujer, como, te, gusta, provocar]",5,5
te vas a quedar vieja y sola.,te vas a quedar vieja y sola,violent,,rnn,"[te, vas, a, quedar, vieja, y, sola]",7,7
las mujeres ?se deben dejar.,las mujeres ?se deben dejar,violent,,rnn,"[las, mujeres, se, deben, dejar]",5,5
"A la mujer brava, soga larga .","a la mujer brava, soga larga",violent,,rnn,"[a, la, mujer, brava, soga, larga]",6,6
Los videojuegos son de chicos.,los videojuegos son de chicos,violent,,rnn,"[los, videojuegos, son, de, chicos]",5,5
es la mujer quien los provoca.,es la mujer quien los provoca,violent,,rnn,"[es, la, mujer, quien, los, provoca]",6,6
Las mujeres no saben conducir.,las mujeres no saben conducir,violent,,rnn,"[las, mujeres, no, saben, conducir]",5,5
"Ah, ¿pero tu tú eres la jefa?","ah, ¿pero tu tú eres la jefa?",violent,,rnn,"[ah, pero, tu, tú, eres, la, jefa]",7,7
¿Te comiste todo eso tú sola.,¿te comiste todo eso tú sola,violent,,rnn,"[te, comiste, todo, eso, tú, sola]",6,6
Yo flipo con lo putas que son.,yo flipo con lo putas que son,violent,,rnn,"[yo, flipo, con, lo, putas, que, son]",7,7
la mujer es inferior al varón.,la mujer es inferior al varón,violent,,rnn,"[la, mujer, es, inferior, al, varón]",6,6
Tú eres la puerta del demonio.,tú eres la puerta del demonio,violent,,rnn,"[tú, eres, la, puerta, del, demonio]",6,6
sujetas a sus propios esposos.,sujetas a sus propios esposos,violent,,rnn,"[sujetas, a, sus, propios, esposos]",5,5
la mujer no tiene voz ni voto.,la mujer no tiene voz ni voto,violent,,rnn,"[la, mujer, no, tiene, voz, ni, voto]",7,7
maldita perra en el Capitolio.,maldita perra en el capitolio,violent,,rnn,"[maldita, perra, en, el, capitolio]",5,5
la mujer significa obediencia.,la mujer significa obediencia,violent,,rnn,"[la, mujer, significa, obediencia]",4,4
